Station ID,Geogr1,Geogr2,Name,Year,Month,Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
22050KDA,-0.25,6.0833,Koforidua,2015,01,15:00,32,31,45,38,33,34,31,30,32,29,27,28,30,24,30,38,43,50,47,47,53,54,29,71,59,93,54,48,48,60,58
22050KDA,-0.25,6.0833,Koforidua,2016,01,15:00,46,25,26,29,37,25,23,23,44,46,48,42,44,43,52,40,48,52,55,52,52,35,26,38,26,37,26,26,28,30,29
22050KDA,-0.25,6.0833,Koforidua,2017,01,15:00,47,49,49,37,54,41,56,50,52,56,53,63,55,42,41,50,48,60,57,61,58,62,62,55,41,49,40,57,55,56,62
22050KDA,-0.25,6.0833,Koforidua,2018,01,15:00,28,35,32,32,32,52,52,56,50,51,51,36,33,49,53,55,54,34,54,44,48,46,48,48,49,35,29,48,50,43,46
22050KDA,-0.25,6.0833,Koforidua,2019,01,15:00,25,28,41,44,26,40,54,30,43,47,44,37,42,47,45,50,50,55,52,89,41,41,48,51,51,47,51,51,58,58,59
22050KDA,-0.25,6.0833,Koforidua,2020,01,15:00,33,37,28,29,32,34,36,37,39,47,55,46,64,73,33,27,36,49,45,45,27,36,30,50,25,27,30,42,27,33,33
22050KDA,0.270833,6.086389,Koforidua,2016,01,15:00,46,25,26,29,37,25,23,23,44,46,48,42,44,43,52,40,48,52,55,52,52,35,26,38,26,37,26,26,28,30,29
22050KDA,0.270833,6.086389,Koforidua,2017,01,15:00,47,49,49,37,54,41,56,50,52,56,53,63,55,42,41,50,48,60,57,61,58,62,62,55,41,49,40,57,55,56,62
22050KDA,0.270833,6.086389,Koforidua,2018,01,15:00,28,35,32,32,32,52,52,56,50,51,51,36,33,49,53,55,54,34,54,44,48,46,48,48,49,35,29,48,50,43,46
22050KDA,0.270833,6.086389,Koforidua,2019,01,15:00,25,28,41,44,26,40,54,30,43,47,44,37,42,47,45,50,50,55,52,89,41,41,48,51,51,47,51,51,58,58,59
22050KDA,0.270833,6.086389,Koforidua,2020,01,15:00,33,37,28,29,32,34,36,37,39,47,55,46,64,73,33,27,36,49,45,45,27,36,30,50,25,27,30,42,27,33,33
22050KDA,0.270833,6.086389,Koforidua,2021,01,15:00,56,62,59,59,61,64,64,59,53,62,53,56,56,56,56,55,58,60,60,56,52,58,47,41,51,46,56,55,56,63,58
22050KDA,0.270833,6.086389,Koforidua,2022,01,15:00,54,46,48,50,50,44,48,40,31,33,50,50,52,56,30,26,41,51,28,28,26,27,26,27,25,20,40,49,33,30,23
22050KDA,0.270833,6.086389,Koforidua,2023,01,15:00,34,30,31,38,39,50,41,40,41,36,34,30,41,37,43,41,37,47,47,47,49,54,60,54,53,56,62,65,67,27,52
22050KDA,0.270833,6.086389,Koforidua,2024,01,15:00,45,39,45,63,48,60,58,52,58,53,47,38,37,43,44,35,36,40,34,34,34,36,41,41,54,28,26,28,27,36,38
21088ODA,-0.978354,5.929346,Akim Oda,2024,01,15:00,51,54,58,58,56,57,62,60,69,62,59,64,48,49,52,60,49,50,53,53,53,42,55,53,61,53,41,38,46,45,53
22050KDA,0.270833,6.086389,Koforidua,2015,01,15:00,32,31,45,38,33,34,31,30,32,29,27,28,30,24,30,38,43,50,47,47,53,54,29,71,59,93,54,48,48,60,58
21088ODA,-0.978354,5.929346,Akim Oda,2015,01,15:00,44,37,44,55,41,47,42,45,35,42,31,29,32,35,30,40,52,59,49,49,53,54,46,48,53,60,50,42,46,58,60
21088ODA,-0.978354,5.929346,Akim Oda,2016,01,15:00,53,31,38,38,45,23,26,20,48,56,54,51,45,42,49,46,51,49,54,65,56,50,43,56,49,34,36,36,28,32,30
21088ODA,-0.978354,5.929346,Akim Oda,2017,01,15:00,57,52,55,43,45,54,61,58,61,56,58,57,53,52,49,65,53,62,62,63,61,68,63,43,34,46,47,52,56,52,58
21088ODA,-0.978354,5.929346,Akim Oda,2018,01,15:00,40,40,44,41,42,60,58,59,57,56,50,40,37,51,60,55,60,51,49,49,42,55,48,58,74,37,43,55,56,48,50
21088ODA,-0.978354,5.929346,Akim Oda,2021,01,15:00,65,66,66,64,74,69,70,66,60,63,63,58,62,59,57,60,58,66,62,62,56,63,45,55,53,51,57,58,62,63,53
21088ODA,-0.978354,5.929346,Akim Oda,2022,01,15:00,56,60,52,60,55,46,58,46,38,50,56,51,56,51,43,43,41,52,49,34,29,35,46,45,34,21,40,51,40,34,28
21088ODA,-0.978354,5.929346,Akim Oda,2023,01,15:00,36,39,48,45,49,55,53,50,46,46,55,46,53,45,49,51,50,48,53,51,57,56,65,58,58,59,61,56,58,52,51
17009KSI,-1.591642,6.716932,Kumasi,2015,01,15:00,15,16,31,35,18,22,26,34,29,27,23,16,16,21,27,32,19,32,30,36,49,49,45,36,49,48,21,14,31,46,36
17009KSI,-1.591642,6.716932,Kumasi,2016,01,15:00,27,26,16,15,20,11,12,7,32,44,37,40,43,41,35,30,37,36,43,44,46,30,19,16,36,14,22,16,15,16,17
17009KSI,-1.591642,6.716932,Kumasi,2017,01,15:00,51,50,47,25,28,21,50,49,67,53,51,49,28,29,27,42,48,46,56,55,55,47,52,25,16,38,34,40,45,40,45
17009KSI,-1.591642,6.716932,Kumasi,2018,01,15:00,34,41,32,26,35,49,50,49,52,45,35,21,28,37,49,54,59,36,36,36,30,25,48,37,57,26,42,47,56,36,43
17009KSI,-1.591642,6.716932,Kumasi,2019,01,15:00,27,25,46,30,21,26,21,18,40,51,56,46,43,40,49,46,50,56,51,34,18,38,38,44,55,18,16,43,38,39,78
17009KSI,-1.591642,6.716932,Kumasi,2020,01,15:00,41,22,22,24,24,23,24,31,25,51,51,41,39,23,14,18,35,44,44,46,46,40,39,34,33,24,39,47,18,35,38
17009KSI,-1.591642,6.716932,Kumasi,2021,01,15:00,53,54,52,61,60,56,63,60,57,60,54,59,54,51,50,43,54,60,57,54,50,28,24,34,41,44,52,43,53,53,40
17009KSI,-1.591642,6.716932,Kumasi,2022,01,15:00,46,45,56,31,41,21,34,22,20,21,21,47,42,41,21,23,30,49,31,25,28,26,27,23,18,23,37,42,24,23,27
17009KSI,-1.591642,6.716932,Kumasi,2023,01,15:00,31,21,24,21,27,37,39,45,42,30,43,36,34,31,43,41,43,42,43,46,51,55,52,46,44,40,55,46,43,26,25
17009KSI,-1.591642,6.716932,Kumasi,2024,01,15:00,50,50,43,53,56,54,53,55,52,58,45,53,42,48,50,41,40,41,43,41,42,40,45,49,43,32,29,26,25,26,36
16015BEK,-2.32108,6.196459,Sefwi Bekwai,2015,01,15:00,42,24,44,49,27,23,44,53,23,31,38,27,24,28,35,41,44,45,42,47,55,57,49,50,51,54,47,41,40,41,46
16015BEK,-2.32108,6.196459,Sefwi Bekwai,2016,01,15:00,54,47,36,30,39,19,24,21,44,49,45,56,53,51,44,46,47,53,57,47,54,44,36,27,44,24,32,26,23,26,35
16015BEK,-2.32108,6.196459,Sefwi Bekwai,2017,01,15:00,63,60,52,38,44,41,57,52,63,58,50,50,53,33,40,53,48,58,55,57,57,58,76,42,33,50,44,45,47,44,46
16015BEK,-2.32108,6.196459,Sefwi Bekwai,2018,01,15:00,59,46,55,39,48,48,55,61,58,52,39,40,39,33,54,58,63,50,41,42,42,35,49,48,69,35,46,51,51,35,51
16015BEK,-2.32108,6.196459,Sefwi Bekwai,2019,01,15:00,55,40,48,45,31,33,32,25,53,54,58,52,50,53,48,52,50,58,57,52,42,41,43,45,63,49,36,51,48,47,55
16015BEK,-2.32108,6.196459,Sefwi Bekwai,2021,01,15:00,59,52,57,59,57,65,70,57,54,55,55,56,73,57,58,50,58,61,58,60,55,54,36,45,49,52,56,52,56,56,47
16015BEK,-2.32108,6.196459,Sefwi Bekwai,2022,01,15:00,53,47,56,47,49,46,49,40,27,29,41,51,53,47,36,35,32,38,29,32,27,28,27,29,20,33,41,51,39,30,35
16015BEK,-2.32108,6.196459,Sefwi Bekwai,2023,01,15:00,41,26,24,29,35,46,54,51,48,42,50,52,42,42,51,42,51,50,51,54,54,47,52,48,54,51,57,52,42,45,32
16015BEK,-2.32108,6.196459,Sefwi Bekwai,2024,01,15:00,62,56,53,59,58,55,63,63,58,58,55,58,46,55,57,64,50,48,47,52,46,37,42,50,56,53,26,25,25,30,45
15076AKA,0.8,6.1167,Akatsi,2016,01,15:00,40,25,26,25,33,24,21,22,54,55,59,53,55,56,52,58,54,61,72,60,52,51,38,31,27,37,20,21,18,22,26
15076AKA,0.8,6.1167,Akatsi,2017,01,15:00,34,52,56,32,49,53,53,54,54,40,59,58,58,28,37,46,48,52,54,61,61,55,47,45,55,61,51,53,50,56,70
15076AKA,0.8,6.1167,Akatsi,2018,01,15:00,26,37,31,28,32,43,47,51,60,57,57,38,25,52,55,60,60,53,63,55,51,55,56,60,55,57,53,44,58,53,58
15076AKA,0.8,6.1167,Akatsi,2019,01,15:00,32,28,55,45,25,44,41,27,51,47,60,56,56,56,82,56,57,60,53,52,54,60,57,60,59,59,54,58,58,57,61
15076AKA,0.8,6.1167,Akatsi,2020,01,15:00,25,20,26,28,33,46,39,38,52,49,63,59,71,67,57,24,59,61,41,55,49,54,59,35,34,30,38,55,32,54,58
15076AKA,0.8,6.1167,Akatsi,2021,01,15:00,68,63,63,59,68,62,68,59,63,62,72,60,59,79,75,63,64,56,63,65,66,75,66,67,67,69,70,70,71,69,66
15076AKA,0.8,6.1167,Akatsi,2022,01,15:00,66,59,58,52,51,52,65,62,50,59,53,63,61,60,44,44,57,52,34,27,22,32,24,24,21,24,49,56,28,22,24
15076AKA,0.8,6.1167,Akatsi,2023,01,15:00,27,30,32,37,58,47,52,55,51,54,56,56,59,49,53,52,48,62,59,62,58,64,61,55,52,57,57,57,82,59,60
15076AKA,0.8,6.1167,Akatsi,2024,01,15:00,59,59,56,66,59,52,59,68,85,50,61,62,56,58,49,32,44,51,54,58,57,51,55,53,56,22,23,24,28,27,45
15076AKA,0.8,6.1167,Akatsi,2015,01,15:00,27,32,36,27,26,28,30,33,31,27,33,23,22,28,33,48,58,60,63,60,60,56,60,85,65,64,62,45,59,61,65
14067ABE,-0.74717,6.680267,Abetifi,2015,01,15:00,28,36,40,35,26,23,33,35,31,31,28,26,24,26,27,37,26,63,40,55,63,53,41,51,58,67,38,30,52,61,60
14067ABE,-0.74717,6.680267,Abetifi,2016,01,15:00,34,31,34,27,28,21,21,18,25,36,37,40,55,40,48,33,48,41,56,70,49,37,35,30,31,29,26,23,25,24,22
14067ABE,-0.74717,6.680267,Abetifi,2017,01,15:00,42,49,43,30,32,38,62,55,47,58,54,56,36,35,26,55,48,58,61,64,62,61,35,24,20,38,36,46,58,56,57
14067ABE,-0.74717,6.680267,Abetifi,2018,01,15:00,35,34,35,37,43,56,62,55,46,41,40,22,25,33,37,60,51,30,37,43,38,24,39,42,33,26,30,36,49,39,51
14067ABE,-0.74717,6.680267,Abetifi,2019,01,15:00,26,26,54,48,29,30,28,37,45,59,41,47,43,42,42,45,56,62,59,43,21,20,26,42,44,28,31,45,34,56,52
14067ABE,-0.74717,6.680267,Abetifi,2020,01,15:00,34,32,28,27,31,27,35,40,31,54,64,49,49,43,25,26,33,44,45,48,38,41,38,25,23,23,32,48,25,26,30
14067ABE,-0.74717,6.680267,Abetifi,2021,01,15:00,62,62,61,64,71,66,72,65,58,64,60,61,59,40,43,43,45,61,48,40,33,58,28,27,37,36,38,37,62,52,51
14067ABE,-0.74717,6.680267,Abetifi,2022,01,15:00,45,46,55,35,45,32,48,35,33,27,29,55,38,41,31,31,22,63,35,29,28,26,23,25,25,22,35,46,35,26,20
14067ABE,-0.74717,6.680267,Abetifi,2023,01,15:00,27,24,23,25,32,37,41,38,35,29,45,33,42,30,38,39,36,39,41,37,45,34,58,44,34,42,46,59,59,25,32
14067ABE,-0.74717,6.680267,Abetifi,2024,01,15:00,41,49,47,45,54,66,47,50,53,56,32,40,56,36,43,41,30,35,30,45,39,23,54,45,48,24,28,27,19,23,29
08010YDI,-0.0167,9.45,Yendi,2016,01,15:00,42,20,23,21,28,15,18,10,18,16,16,16,23,22,17,20,22,20,18,21,16,13,14,17,12,15,19,21,22,22,22
08010YDI,-0.0167,9.45,Yendi,2017,01,15:00,20,20,19,15,17,18,16,28,14,18,22,11,11,12,14,15,13,19,26,18,22,15,13,10,11,11,12,16,10,13,19
08010YDI,-0.0167,9.45,Yendi,2018,01,15:00,16,20,23,19,18,18,18,17,14,18,19,18,14,17,19,37,19,14,17,18,18,14,15,13,20,20,20,20,15,17,20
08010YDI,-0.0167,9.45,Yendi,2019,01,15:00,18,20,24,22,17,22,21,19,23,34,24,15,17,17,16,19,31,33,46,15,16,15,16,15,20,15,18,17,20,31,23
08010YDI,-0.0167,9.45,Yendi,2021,01,15:00,27,35,44,37,33,26,33,43,39,33,38,30,19,21,18,19,18,16,20,20,24,19,18,20,18,15,16,17,17,25,20
08010YDI,-0.0167,9.45,Yendi,2023,01,15:00,25,28,28,30,32,34,27,21,22,23,25,29,24,26,26,26,28,23,26,25,36,37,38,39,31,37,33,35,26,23,25
08010YDI,-0.0167,9.45,Yendi,2024,01,15:00,26,24,25,28,32,32,22,21,38,33,20,21,21,25,26,20,23,22,34,22,23,21,29,30,29,23,27,28,29,29,29
08010YDI,-0.0167,9.45,Yendi,2015,01,15:00,23,23,22,20,21,23,21,23,21,19,16,14,13,18,12,15,17,13,16,13,42,39,14,21,29,28,17,14,17,20,25
07017HO-,0.4667,6.6,Ho,2015,01,15:00,26,31,39,31,30,30,32,34,30,33,33,34,30,31,37,40,42,51,51,52,51,51,49,46,48,51,51,39,53,53,56
07017HO-,0.4667,6.6,Ho,2016,01,15:00,32,25,28,28,32,31,46,51,42,40,41,39,37,35,48,38,43,42,50,71,49,18,22,31,25,29,23,23,25,22,28
07017HO-,0.4667,6.6,Ho,2017,01,15:00,29,34,27,29,31,31,48,43,36,23,46,52,46,27,27,37,43,45,51,54,47,55,48,57,30,41,40,42,45,48,56
